participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c19,0.555,0.5,technical writer,Four year college degree,0.5,Growing,Somewhat prestigious,Four year college degree,0.47,Growing,Neither prestigious or not
c17,0.861,0.125,nurse practitioner,Four year college degree,0.65,Growing,Somewhat prestigious,Two year college or vocational degree,0.75,Growing,Somewhat prestigious
c11,0.041,1,pilot,Four year college degree,0.16,Staying about the same,Neither prestigious or not,Four year college degree,0.25,Staying about the same,Somewhat prestigious
c30,0.556,0.5,author,Four year college degree,0.5,Staying about the same,Somewhat prestigious,Four year college degree,0.6,Staying about the same,Somewhat prestigious
c14,0.041,1,pilot,Four year college degree,0.2,Staying about the same,Very unprestigious,Four year college degree,0.4,Growing,Very prestigious
c30,0.126,0.125,police officer,Professional degree,0.25,Growing,Somewhat prestigious,Professional degree,0.3,Growing,Somewhat prestigious
c16,0.377,0.875,cook,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious,Two year college or vocational degree,0.4,Staying about the same,Somewhat unprestigious
c19,0.343,0.625,doctor,Doctorate,0.46,Staying about the same,Very prestigious,Four year college degree,0.35,Staying about the same,Very prestigious
c18,0.678,0.25,customer service representative,High school diploma or equivalent,0.55,Staying about the same,Neither prestigious or not,High school diploma or equivalent,0.6,Growing,Very unprestigious
c11,0.455,0.5,bus driver,High school diploma or equivalent,0.23,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.48,Growing,Somewhat unprestigious
c30,0.197,0.75,software developer,Four year college degree,0.35,Growing,Somewhat prestigious,Four year college degree,0.35,Growing,Somewhat prestigious
c12,0.166,0.5,drafter,Four year college degree,0.15,Staying about the same,Neither prestigious or not,Four year college degree,0.05,Staying about the same,Neither prestigious or not
c16,0.132,0.5,engineer,Professional degree,0.25,Staying about the same,Very prestigious,Four year college degree,0.35,Staying about the same,Very prestigious
c18,0.728,0,lab tech,Four year college degree,0.5,Growing,Very unprestigious,Four year college degree,0.35,Growing,Somewhat prestigious
c11,0.225,0.875,computer programmer,Professional degree,0.34,Growing,Very prestigious,Four year college degree,0.5,Growing,Very prestigious
c7,0.225,0.25,computer programmer,Two year college or vocational degree,0.38,Growing,Somewhat prestigious,Two year college or vocational degree,0.4,Growing,Somewhat prestigious
c16,0.556,0.25,author,Some high school,0.55,Staying about the same,Somewhat prestigious,Four year college degree,0.5,Growing,Somewhat prestigious
c19,0.814,0.25,primary school teacher,Four year college degree,0.85,Staying about the same,Neither prestigious or not,Four year college degree,0.75,Staying about the same,Neither prestigious or not
c34,0.503,0.375,telemarketer,Some high school,0.5,Growing,Somewhat unprestigious,Two year college or vocational degree,0.5,Staying about the same,Somewhat unprestigious
c43,0.126,0.875,police officer,Four year college degree,0.2,Growing,Somewhat prestigious,Two year college or vocational degree,0.35,Growing,Somewhat prestigious
c12,0.556,0.5,author,High school diploma or equivalent,0.5,Growing,Somewhat prestigious,Some high school,0.5,Growing,Somewhat prestigious
c19,0.236,0.75,announcer,Four year college degree,0.2,Staying about the same,Somewhat prestigious,Four year college degree,0.15,Staying about the same,Neither prestigious or not
c34,0.599,0.5,bartender,High school diploma or equivalent,0.55,Growing,Somewhat prestigious,High school diploma or equivalent,0.5,Growing,Somewhat prestigious
c18,0.377,0,cook,High school diploma or equivalent,0.45,Growing,Neither prestigious or not,High school diploma or equivalent,0.45,Growing,Somewhat prestigious
